"id","age_months","age_years","age_years_cont","age_zscored","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","magnitude","set_chosen","count","correction_after_prompt","final_count","set_asked","n_bunnies","n_lions","trial_ratio","correct_set_chosen","target_count","correct_count","correct_set_chosen_or_correct_count","correct_count_when_correct_set_chosen","count_error","correct_count_approx"
"cd43aaab-46af-463f-abd4-4d265e6f7b5b",51,4,4.3041095890411,0.182159551496075,6,12,"2","subset",1,"large","bunny",3,NA,3,"lion",8,5,"5-8",0,5,0,0,0,-2,0
"cd43aaab-46af-463f-abd4-4d265e6f7b5b",51,4,4.3041095890411,0.182159551496075,6,12,"2","subset",2,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"cd43aaab-46af-463f-abd4-4d265e6f7b5b",51,4,4.3041095890411,0.182159551496075,6,12,"2","subset",3,"small","bunny",2,NA,2,"bunny",3,1,"1-3",1,3,0,1,0,-1,1
"cd43aaab-46af-463f-abd4-4d265e6f7b5b",51,4,4.3041095890411,0.182159551496075,6,12,"2","subset",4,"large","bunny",2,NA,2,"bunny",6,7,"6-7",1,6,0,1,0,-4,0
"cd43aaab-46af-463f-abd4-4d265e6f7b5b",51,4,4.3041095890411,0.182159551496075,6,12,"2","subset",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"cd43aaab-46af-463f-abd4-4d265e6f7b5b",51,4,4.3041095890411,0.182159551496075,6,12,"2","subset",6,"large","bunny",2,NA,2,"bunny",7,5,"5-7",1,7,0,1,0,-5,0
"f188d8af-b300-4f77-9163-62ec6bb9f76c",42,3,3.53698630136986,-0.68748536613224,1,10,"4","subset",1,"small","lion",1,NA,1,"lion",3,1,"1-3",1,1,1,1,1,0,1
"f188d8af-b300-4f77-9163-62ec6bb9f76c",42,3,3.53698630136986,-0.68748536613224,1,10,"4","subset",2,"large","lion",5,NA,5,"lion",5,7,"5-7",1,7,0,1,0,-2,0
"f188d8af-b300-4f77-9163-62ec6bb9f76c",42,3,3.53698630136986,-0.68748536613224,1,10,"4","subset",3,"large","lion",5,NA,5,"bunny",6,7,"6-7",0,6,0,0,0,-1,1
"f188d8af-b300-4f77-9163-62ec6bb9f76c",42,3,3.53698630136986,-0.68748536613224,1,10,"4","subset",4,"small","bunny",2,NA,2,"bunny",2,3,"2-3",1,2,1,1,1,0,1
"f188d8af-b300-4f77-9163-62ec6bb9f76c",42,3,3.53698630136986,-0.68748536613224,1,10,"4","subset",5,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"f188d8af-b300-4f77-9163-62ec6bb9f76c",42,3,3.53698630136986,-0.68748536613224,1,10,"4","subset",6,"large","bunny",4,NA,4,"bunny",8,5,"5-8",1,8,0,1,0,-4,0
"e9a5e24e-06fa-4179-a57e-ed4c8bff1b48",50,4,4.21643835616438,0.082771560909981,6,11,"CP","CP",1,"large","lion",4,NA,4,"lion",8,5,"5-8",1,5,0,1,0,-1,1
"e9a5e24e-06fa-4179-a57e-ed4c8bff1b48",50,4,4.21643835616438,0.082771560909981,6,11,"CP","CP",2,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"e9a5e24e-06fa-4179-a57e-ed4c8bff1b48",50,4,4.21643835616438,0.082771560909981,6,11,"CP","CP",3,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"e9a5e24e-06fa-4179-a57e-ed4c8bff1b48",50,4,4.21643835616438,0.082771560909981,6,11,"CP","CP",4,"large","bunny",6,NA,6,"bunny",6,7,"6-7",1,6,1,1,1,0,1
"e9a5e24e-06fa-4179-a57e-ed4c8bff1b48",50,4,4.21643835616438,0.082771560909981,6,11,"CP","CP",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"e9a5e24e-06fa-4179-a57e-ed4c8bff1b48",50,4,4.21643835616438,0.082771560909981,6,11,"CP","CP",6,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"9af80b82-e7f8-4d84-bd3c-ddcfb2eb71ce",52,4,4.40547945205479,0.297076915611244,4,13,"CP","CP",1,"large","bunny",5,NA,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
