"id","age_months","age_years","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","magnitude","set_chosen","count","correction_after_prompt","final_count","set_asked","n_bunnies","n_lions","trial_ratio","correct_set_chosen","target_count","correct_count","correct_set_chosen_or_correct_count","correct_count_when_correct_set_chosen","count_error","correct_count_approx"
"7106a5ae-025d-422b-82e0-7e758e26bf74",50,4,6,11,"CP","CP",3,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"7106a5ae-025d-422b-82e0-7e758e26bf74",50,4,6,11,"CP","CP",4,"large","bunny",6,NA,6,"bunny",6,7,"6-7",1,6,1,1,1,0,1
"7106a5ae-025d-422b-82e0-7e758e26bf74",50,4,6,11,"CP","CP",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"7106a5ae-025d-422b-82e0-7e758e26bf74",50,4,6,11,"CP","CP",6,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"688e723d-ab4c-4b95-9642-821baf410dba",52,4,4,13,"CP","CP",1,"large","bunny",5,NA,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"688e723d-ab4c-4b95-9642-821baf410dba",52,4,4,13,"CP","CP",2,"large","lion",7,NA,7,"lion",6,7,"6-7",1,7,1,1,1,0,1
"688e723d-ab4c-4b95-9642-821baf410dba",52,4,4,13,"CP","CP",3,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"688e723d-ab4c-4b95-9642-821baf410dba",52,4,4,13,"CP","CP",4,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"688e723d-ab4c-4b95-9642-821baf410dba",52,4,4,13,"CP","CP",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"688e723d-ab4c-4b95-9642-821baf410dba",52,4,4,13,"CP","CP",6,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"ffa32f45-fd99-4318-aee2-4d7d76cda6be",61,5,2,12,"CP","CP",1,"large","lion",7,NA,7,"lion",6,7,"6-7",1,7,1,1,1,0,1
"ffa32f45-fd99-4318-aee2-4d7d76cda6be",61,5,2,12,"CP","CP",2,"small","bunny",1,NA,1,"bunny",1,2,"1-2",1,1,1,1,1,0,1
"ffa32f45-fd99-4318-aee2-4d7d76cda6be",61,5,2,12,"CP","CP",3,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"ffa32f45-fd99-4318-aee2-4d7d76cda6be",61,5,2,12,"CP","CP",4,"small","lion",1,NA,1,"lion",3,1,"1-3",1,1,1,1,1,0,1
"ffa32f45-fd99-4318-aee2-4d7d76cda6be",61,5,2,12,"CP","CP",5,"large","bunny",5,NA,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"ffa32f45-fd99-4318-aee2-4d7d76cda6be",61,5,2,12,"CP","CP",6,"small","lion",3,NA,3,"lion",2,3,"2-3",1,3,1,1,1,0,1
"69ccb70d-7ef6-47a0-93dd-cfcfcaaf83f8",56,4,2,12,"CP","CP",1,"large","lion",4,7,7,"lion",6,7,"6-7",1,7,1,1,1,0,1
"69ccb70d-7ef6-47a0-93dd-cfcfcaaf83f8",56,4,2,12,"CP","CP",2,"small","bunny",1,NA,1,"bunny",1,2,"1-2",1,1,1,1,1,0,1
"69ccb70d-7ef6-47a0-93dd-cfcfcaaf83f8",56,4,2,12,"CP","CP",3,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"69ccb70d-7ef6-47a0-93dd-cfcfcaaf83f8",56,4,2,12,"CP","CP",4,"small","lion",1,NA,1,"lion",3,1,"1-3",1,1,1,1,1,0,1
